Kind of Pet,Pet Full Name,All Pet Everyday Names,Pet Everyday Name 1,Pet Everyday Name 2,Pet Everyday Name 3,Pet Everyday Name 4,Pet Everyday Name 5,Pet Everyday Name 6,Pet Everyday Name 7,Pet Everyday Name 8,Pet Age (Years),Deceased?,All Pet Breed(s),Pet Breed 1,Pet Breed 2,Pet Breed 3
Dog,Murphy,Murph,Murph,,,,,,,,0.583333333,,Golden Retriever,Golden Retriever,,
Dog,Ryder,Ryder,Ryder,,,,,,,,14,,Labrador Retriever,Labrador Retriever,,
Dog,Talani Snowmageddon,Milo,Milo,,,,,,,,0.375,,Golden Retriever,Golden Retriever,,
Dog,Winnie The Blue,Winnie,Winnie,,,,,,,,0.916666667,,Pitbull,Pitbull,,
Dog,Scarlett,Scarlett,Scarlett,,,,,,,,0.25,,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,,
Dog,Gus,Gus,Gus,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Dog,Dixie Marie,Dixie,Dixie,,,,,,,,8,,Saint Bernard,Saint Bernard,,
Dog,Heidi,Heidi,Heidi,,,,,,,,2,,Saint Bernard,Saint Bernard,,
Dog,Phin,Phin,Phin,,,,,,,,2,,Saint Bernard,Saint Bernard,,
Dog,Jager,Jager,Jager,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Brown Bear,Bear,Bear,,,,,,,,7,,,,,
Dog,Lucy,Lucy,Lucy,,,,,,,,4,,Golden Retriever,Golden Retriever,,
Dog,Kahlua,Chicky-chix,Chicky-chix,,,,,,,,0.833333333,,Mixed,Mixed,,
Cat,Epinephrine,Epi,Epi,,,,,,,,9,,Unknown,Unknown,,
Dog,Baylei,Stinky,Stinky,,,,,,,,1,,Labrador Retriever,Labrador Retriever,,
Dog,Baylei,Stinky,Stinky,,,,,,,,1,,Labrador Retriever,Labrador Retriever,,
Cat,That Cat,T.C.,T.C.,,,,,,,,9,,Unknown,Unknown,,
Dog,Rocky,Rocky,Rocky,,,,,,,,5,,Pitbull/ Labrador Retriever,Pitbull,Labrador Retriever,
Bird,Buddy Ryan,Buddy,Buddy,,,,,,,,12,,,,,
Dog,Abigail,Abby,Abby,,,,,,,,4,,Pitbull,Pitbull,,
Dog,Kira,Kira; Squishy,Kira,Squishy,,,,,,,15,,Beagle,Beagle,,
Dog,Sammy,Sam Sam,Sam Sam,,,,,,,,6,,Golden Retriever/ Labrador Retriever,Golden Retriever,Labrador Retriever,
Dog,Piper Marie,Piper,Piper,,,,,,,,4,,Newfoundland,Newfoundland,,
Dog,Charlene,Charlie,Charlie,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Thor Mighty God Of Thunder,Thor,Thor,,,,,,,,9,,Dachshund,Dachshund,,
Dog,Cody Anne,Cody,Cody,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Cat,Caesar,Jeff-jeff,Jeff-jeff,,,,,,,,9,,,,,
Dog,Tessa,Tessa,Tessa,,,,,,,,11,,German Shepherd,German Shepherd,,
Cat,Theia,Kitty; Booger Butt; Fluffybutt,Kitty,Booger Butt,Fluffybutt,,,,,,11,,Domestic Longhair,Domestic Longhair,,
Cat,Minerva Mcgonagall,Minna,Minna,,,,,,,,5,,Tabby Coloration,Tabby Coloration,,
Dog,Lily,Lily,Lily,,,,,,,,10,,Shepherd/ Chow Chow,Shepherd,Chow Chow,
Dog,Butters,Butters,Butters,,,,,,,,9,,Shepherd,Shepherd,,
Dog,Marigold,Marigold,Marigold,,,,,,,,8,,Heinz 57 Mixed,Heinz 57 Mixed,,
Dog,Prince Romeo,Romey,Romey,,,,,,,,8,,Miniature Pinscher,Miniature Pinscher,,
Cat,Teacher’s Pet,Teeps,Teeps,,,,,,,,2,,,,,
Cat,Wimpy,Wimpy,Wimpy,,,,,,,,2,,,,,
Cat,Lucy,Lucy,Lucy,,,,,,,,2,,,,,
Dog,"Snickers The First, Head Woofer",Snickers,Snickers,,,,,,,,6,,Yorkiepoo,Yorkiepoo,,
Dog,Lucky,Lucky,Lucky,,,,,,,,3,,Labrador Retriever/ Blue Heeler,Labrador Retriever,Blue Heeler,
Dog,Ares,Ares,Ares,,,,,,,,8,,Olde English Bulldog,Olde English Bulldog,,
Cat,Skylar,Sweet Boii; My Beautiful Baby Boy,Sweet Boii,My Beautiful Baby Boy,,,,,,,3,,,,,
Dog,Maximillian,Max,Max,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Dog,Rogue,Rogue,Rogue,,,,,,,,6,,Border Collie/ Weimerheimer,Border Collie,Weimerheimer,
Cat,Sweety,Sweety,Sweety,,,,,,,,,,Domestic Longhair,Domestic Longhair,,
Cat,Benny,Ben,Ben,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Ace,,,,,,,,,,1,,American Hairless Terrier,American Hairless Terrier,,
Dog,Ava,,,,,,,,,,4,,American Hairless Terrier,American Hairless Terrier,,
Dog,Winnifred,Winnie,Winnie,,,,,,,,6,,Shih Tzu/ Poodle,Shih Tzu,Poodle,
Dog,Mika,Mika,Mika,,,,,,,,8,,Pitbull/ Labrador Retriever,Pitbull,Labrador Retriever,
Dog,Charlie Elizabeth Begonias,Charlie,Charlie,,,,,,,,5,,Labradoodle,Labradoodle,,
Dog,Jack Ass,Jack; Jackie,Jack,Jackie,,,,,,,5,,Border Collie/ Australian Shepherd,Border Collie,Australian Shepherd,
Cat,Bean,Cat,Cat,,,,,,,,7,,,,,
Cat,Skipps,Skipper,Skipper,,,,,,,,1,,,,,
Cat,Carly Q Cat,Carl,Carl,,,,,,,,5,,,,,
Dog,Dan,Digger,Digger,,,,,,,,13,,Pug,Pug,,
Dog,Koko,Koko,Koko,,,,,,,,4,,French Bulldog,French Bulldog,,
Dog,Archibald,Archie,Archie,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Sassie,Sassie,Sassie,,,,,,,,19,,Poodle,Poodle,,
Dog,Zoe,Zoe,Zoe,,,,,,,,12,,Shih Tzu/ Poodle,Shih Tzu,Poodle,
Dog,Bobo,Bobes,Bobes,,,,,,,,10,,Mixed,Mixed,,
Cat,Sofi,Sofi May Bofi,Sofi May Bofi,,,,,,,,2,,Calico Coloration,Calico Coloration,,
Dog,Isiah Thomas,Izzy,Izzy,,,,,,,,0.25,,Maine Coon,Maine Coon,,
Dog,Sir Pete The Pup,Pete,Pete,,,,,,,,12,,Chihuahua,Chihuahua,,
Dog,Roux Stir,Roux,Roux,,,,,,,,8,,Catahoula,Catahoula,,
Dog,Lucy Scramble,Lucy,Lucy,,,,,,,,5,,Boxer,Boxer,,
Dog,Junebug,Junebug,Junebug,,,,,,,,10,,Shepherd,Shepherd,,
Dog,Crinkle,Crink-a-dink,Crink-a-dink,,,,,,,,7,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Dog,Smokey,Spooky,Spooky,,,,,,,,14,,Mixed,Mixed,,
Dog,Daisy May,Daisy,Daisy,,,,,,,,3,,Labrador Retriever,Labrador Retriever,,
Dog,Crimson,Crimson,Crimson,,,,,,,,9,,Beagle/ Labrador Retriever/ German Shepherd,Beagle,Labrador Retriever,German Shepherd
Dog,Tide,Tide Dog,Tide Dog,,,,,,,,9,,Beagle/ Labrador Retriever/ German Shepherd,Beagle,Labrador Retriever,German Shepherd
Dog,Sophie,Sophie,Sophie,,,,,,,,10,,Labrador Retriever/ Jack Russell Terrier,Labrador Retriever,Jack Russell Terrier,
Dog,Sir Nigel Petrie Of The Poofybottom Clan,Nigel,Nigel,,,,,,,,12,,Pomeranian/ Terrier,Pomeranian,Terrier,
Dog,Tobi,Bobo; Tib Tob; Tibbi Bibbi; Corn Chip,Bobo,Tib Tob,Tibbi Bibbi,Corn Chip,,,,,10,,Newfoundland/ St. Bernard,Newfoundland,St. Bernard,
Dog,Bruin,Bru,Bru,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Dog,Lucinda Jean,Lucy,Lucy,,,,,,,,1,,Golden Retriever,Golden Retriever,,
Dog,Dave,Dave,Dave,,,,,,,,4.5,,Golden Retriever,Golden Retriever,,
Dog,Harper Valley,Harper,Harper,,,,,,,,0.25,,Dachshund,Dachshund,,
Cat,Calleigh Marie,Calleigh,Calleigh,,,,,,,,14,,Domestic Shorthair,Domestic Shorthair,,
Dog,Buster Brown,Buster,Buster,,,,,,,,11,,Mixed,Mixed,,
Fish,Øptifish,Øptifish,Øptifish,,,,,,,,0.038461538,,Goldfish,Goldfish,,
Dog,Leila,Leila!!,Leila!!,,,,,,,,5,,Pointer,Pointer,,
Dog,Trixie,Trixie Treat,Trixie Treat,,,,,,,,3,,Golden Retriever,Golden Retriever,,
Dog,Archer,Archibald,Archibald,,,,,,,,9,,Labrador Retriever,Labrador Retriever,,
Dog,Josie Pancakes Fluffybottom,Josie,Josie,,,,,,,,8,,Mixed,Mixed,,
Cat,Tiger Jack,Jack,Jack,,,,,,,,6.75,,Tabby Coloration,Tabby Coloration,,
Cat,William Orange,Willie,Willie,,,,,,,,6.75,,Tabby Coloration,Tabby Coloration,,
Dog,Zeus,Zu,Zu,,,,,,,,1,,Great Dane,Great Dane,,
Dog,Shooter,Shooter,Shooter,,,,,,,,8,,Blue Heeler,Blue Heeler,,
Dog,Ellie,Ellie,Ellie,,,,,,,,8,,Labrador Retriever,Labrador Retriever,,
Dog,Macie,Mace,Mace,,,,,,,,8,,Golden,Golden,,
Dog,Maddie,Bubbis,Bubbis,,,,,,,,17,,Shih Tzu,Shih Tzu,,
Cat,Motown,Mo,Mo,,,,,,,,8,,Domestic Longhair,Domestic Longhair,,
Fish,Spot,Spot,Spot,,,,,,,,0.5,,Betta,Betta,,
Dog,Squirt,Squirt,Squirt,,,,,,,,7,,Bulldog,Bulldog,,
Dog,Samantha Marie,Sammie,Sammie,,,,,,,,8,,Mixed,Mixed,,
Dog,Quincy,Quincy,Quincy,,,,,,,,5,,Chihuahua,Chihuahua,,
Dog,Cajun,Cajun,Cajun,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Dog,Duke,Dukie Doo,Dukie Doo,,,,,,,,3,,Pitbull,Pitbull,,
Dog,Daisy,Daisy Dee,Daisy Dee,,,,,,,,3,,Pitbull,Pitbull,,
Dog,Nico,Nico,Nico,,,,,,,,4,,Boston Terrier/ Pug,Boston Terrier,Pug,
Dog,Chance Mccoy,Chance,Chance,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Dog,Kobi,Kobi,Kobi,,,,,,,,11,,Pitbull,Pitbull,,
Dog,Maila,Maila Moose,Maila Moose,,,,,,,,1,,Mastiff,Mastiff,,
Horse,Domino,Dommi,Dommi,,,,,,,,6,,Paint,Paint,,
Dog,Phineas,Phin,Phin,,,,,,,,3,,Labrador Retriever,Labrador Retriever,,
Dog,Cody,Vody,Vody,,,,,,,,20,,Labrador Retriever,Labrador Retriever,,
Dog,Perry,Perry,Perry,,,,,,,,3,,Labrador Retriever,Labrador Retriever,,
Bird,Gregory Peck,Greggie,Greggie,,,,,,,,2,,Bantam Cochin,Bantam Cochin,,
Dog,Call It A Night Sir Dudley,Dudley,Dudley,,,,,,,,5,,Golden Retriever,Golden Retriever,,
Dog,Madison Brooke,Maddy,Maddy,,,,,,,,7,,Foxhound,Foxhound,,
Cat,Pandors,Pandora,Pandora,,,,,,,,10,,,,,
Dog,Like Francis,Luke,Luke,,,,,,,,8,,Treeing Walker Coonhound,Treeing Walker Coonhound,,
Cat,Bo Bo,Bo Bo,Bo Bo,,,,,,,,4,,,,,
Cat,Zooey,Zooey,Zooey,,,,,,,,8,,,,,
Cat,Mollie,Mollie,Mollie,,,,,,,,2,,,,,
Cat,Jj,Jj,Jj,,,,,,,,0.5,,,,,
Cat,Jenson Button. (last Name Pronounced Boo Tawn),Boo Bear; Jb; Button,Boo Bear,Jb,Button,,,,,,8,,Unknown,Unknown,,
Dog,Pilikia,Pili,Pili,,,,,,,,14,,Chihuahua,Chihuahua,,
Dog,Mia Pieper,Mia,Mia,,,,,,,,3,,Labrador Retriever/  Greyhound,Labrador Retriever,Greyhound,
Cat,Nova Blake,Nova,Nova,,,,,,,,1,,Tabby Coloration,Tabby Coloration,,
Dog,Pepper Potts,Pepper,Pepper,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Scruffy,Scruffy,Scruffy,,,,,,,,,deceased,Mixed,Mixed,,
Cat,Nikolai Maranov,Mr. M,Mr. M,,,,,,,,12,,Maine Coon,Maine Coon,,
Cat,Django,Django,Django,,,,,,,,16,,Tuxedo Coloration,Tuxedo Coloration,,
Dog,Princess Jessi,Jessi,Jessi,,,,,,,,7,,,,,
Dog,Mowgli,,,,,,,,,,1,,Labrador Retriever,Labrador Retriever,,
Dog,Luna,Luna,Luna,,,,,,,,2,,Labrador Retriever,Labrador Retriever,,
Dog,Wille,Willie,Willie,,,,,,,,8,,,,,
Dog,Otto,Otto,Otto,,,,,,,,1.5,,Doberman/ Basset Hound,Doberman,Basset Hound,
Cat,Momma Martha,Martha,Martha,,,,,,,,5,,Domestic Shorthair,Domestic Shorthair,,
Dog,Optimus,Opti,Opti,,,,,,,,7,,Maltese,Maltese,,
Dog,Memphis Mumford,Memphis,Memphis,,,,,,,,2,,Cane Corso Mastiff,Cane Corso Mastiff,,
Cat,Antoine,Toine,Toine,,,,,,,,8,,Tabby Coloration,Tabby Coloration,,
Dog,Louie,Louie,Louie,,,,,,,,6,,Labrador Retriever/ Bloodhound,Labrador Retriever,Bloodhound,
Cat,Hunter Pounce,Caracat,Caracat,,,,,,,,8,,Domestic Shorthair,Domestic Shorthair,,
Dog,Anna,Anna,Anna,,,,,,,,5,,,,,
Dog,Chester,Chester,Chester,,,,,,,,13,,Nova Scotia Duck Toller,Nova Scotia Duck Toller,,
Dog,Zeus Theodore,Zeus,Zeus,,,,,,,,7,,Schnoodle,Schnoodle,,
Dog,Ripley,Ripley,Ripley,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Dog,Beau,Beau Beau,Beau Beau,,,,,,,,4,,Golden Doodle,Golden Doodle,,
Dog,Lucy,Lucy,Lucy,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Penelope,Penny,Penny,,,,,,,,3,,Maltese,Maltese,,
Dog,Callie,Cal,Cal,,,,,,,,4,,Golden Retriever,Golden Retriever,,
Dog,Jake,Jakey Poo Poo Head,Jakey Poo Poo Head,,,,,,,,2,,Golden Doodle,Golden Doodle,,
Dog,Willie,Willie,Willie,,,,,,,,2.5,,Labrador Retriever,Labrador Retriever,,
Dog,Package,Package,Package,,,,,,,,1,,Dalmatian,Dalmatian,,
Cat,Algernon,Algy; Gu,Algy,Gu,,,,,,,11,,,,,
Cat,Pickles!,Pickles; Pumpkin; Cutie Pie; Little Darlin,Pickles,Pumpkin,Cutie Pie,Little Darlin,,,,,3,,Domestic Shorthair,Domestic Shorthair,,
Cat,Jiblit,Tiny Jib,Tiny Jib,,,,,,,,1,,,,,
Dog,Luna,Luna,Luna,,,,,,,,5,,Yorkiepoo,Yorkiepoo,,
Dog,Delilah,Lila,Lila,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Cat,Celie,Celie,Celie,,,,,,,,7,,Tabby Coloration,Tabby Coloration,,
Cat,Sophie,Sophie,Sophie,,,,,,,,7,,Tabby Coloration,Tabby Coloration,,
Cat,Oliver Wendell Holmes,Oliver,Oliver,,,,,,,,9,,,,,
Dog,Josephine,Josie,Josie,,,,,,,,4,,Border Collie/ Pitbull,Border Collie,Pitbull,
Dog,Russell D.,Rusty,Rusty,,,,,,,,9,,Mixed,Mixed,,
Dog,Excalibur Insubordinate O’mallie Ix,Cali,Cali,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Darth Vada Mae,Vada,Vada,,,,,,,,7,,Border Collie/ Corgi,Border Collie,Corgi,
Cat,Felix,Felix,Felix,,,,,,,,12,,Domestic Shorthair,Domestic Shorthair,,
Dog,Butterscotch,Butters,Butters,,,,,,,,9.5,,Mixed,Mixed,,
Dog,Emma Jean Jelly Bean,Emma,Emma,,,,,,,,13,,Shih Tzu,Shih Tzu,,
Cat,Binky,Binky,Binky,,,,,,,,2,,Domestic Shorthair,Domestic Shorthair,,
Cat,Sox,Sox,Sox,,,,,,,,10,,Domestic Shorthair,Domestic Shorthair,,
Dog,Rigby,Rigs,Rigs,,,,,,,,6,,Boston Terrier,Boston Terrier,,
Dog,Sir Scribbles Of The Shire,Scribbles,Scribbles,,,,,,,,5,,Shih Tzu/ Corgi,Shih Tzu,Corgi,
Cat,Herbert Fitzgerald,Bertie,Bertie,,,,,,,,3,,Ragdoll,Ragdoll,,
Cat,Gary,Gary,Gary,,,,,,,,3,,Tabby Coloration,Tabby Coloration,,
Cat,Cassandra,Cassie,Cassie,,,,,,,,7,,Siamese,Siamese,,
Cat,Moose,Moose,Moose,,,,,,,,0.166666667,,Calico Coloration,Calico Coloration,,
Dog,Tele,Tele,Tele,,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Dog,Maggie,Pooper,Pooper,,,,,,,,14,,Dachshund,Dachshund,,
Cat,Daniel,Daniel,Daniel,,,,,,,,16,,Oriental,Oriental,,
Cat,Kitty,Kitty,Kitty,,,,,,,,16,,Domestic Shorthair,Domestic Shorthair,,
Dog,Daisy Mae,Daisy,Daisy,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Dog,Bug,Bug,Bug,,,,,,,,6,,Jack Russell Terrier,Jack Russell Terrier,,
Dog,Rayven,Ray,Ray,,,,,,,,6,,German Shepherd,German Shepherd,,
Dog,Puppy Girl,Puppy,Puppy,,,,,,,,4,,Jack Russell Terrier,Jack Russell Terrier,,
Dog,Beyoncé,Beyoncé,Beyoncé,,,,,,,,2,,Chihuahua,Chihuahua,,
Dog,Pippa Mad,Pippa,Pippa,,,,,,,,2,,Havanese,Havanese,,
Dog,Tails Balboa,Tails,Tails,,,,,,,,14,,Chihuahua,Chihuahua,,
Dog,Tara Balboa,Tara,Tara,,,,,,,,6,,Chihuahua,Chihuahua,,
Dog,Mia,Mimi,Mimi,,,,,,,,1,,Chihuahua,Chihuahua,,
Dog,Slainte,Slainte,Slainte,,,,,,,,12,,Chiweenie,Chiweenie,,
Cat,Persephone,Persnuffy,Persnuffy,,,,,,,,11,,,,,
Cat,Piper,Pipes,Pipes,,,,,,,,1,,,,,
Cat,Belle,Tiny Kitten,Tiny Kitten,,,,,,,,12,,,,,
Cat,Nyx,Nyxapooski,Nyxapooski,,,,,,,,8,,,,,
Dog,Clyde Frog The Dog,Clyde,Clyde,,,,,,,,3.75,,Labrador Retriever,Labrador Retriever,,
Cat,Baby Tiger,Tiger Bub,Tiger Bub,,,,,,,,11,,,,,
Cat,Havoc,Bb,Bb,,,,,,,,2,,,,,
Dog,Asher,Ashie,Ashie,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Miley,Miley,Miley,,,,,,,,13.5,,Mixed,Mixed,,
Cat,Tux,Monsieur Tux,Monsieur Tux,,,,,,,,2,,,,,
Horse,Paisley Desert Melody,Melody,Melody,,,,,,,,7,,Spanish Mustang,Spanish Mustang,,
Dog,Suzie,Suzie,Suzie,,,,,,,,5,,Labrador Retriever,Labrador Retriever,,
Dog,Joshua,Joshie,Joshie,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Kona Kai,Kona,Kona,,,,,,,,2,,Golden Retriever/ German Shepherd,Golden Retriever,German Shepherd,
Cat,Simba,Simba,Simba,,,,,,,,6,,Domestic Shorthair,Domestic Shorthair,,
Dog,Charlie,Charlie,Charlie,,,,,,,,11,,Boston Terrier/ Pug,Boston Terrier,Pug,
Turtle,Lucky,Lucky,Lucky,,,,,,,,,,Desert Tortoise,Desert Tortoise,,
Cat,Duncan,Duncan,Duncan,,,,,,,,5.5,,,,,
Dog,Lucky,Lucky,Lucky,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Dog,Lily Ann,Lily,Lily,,,,,,,,3,,Golden Retriever,Golden Retriever,,
Dog,Robbie,Robbie,Robbie,,,,,,,,10,,West Highland White Terrier,West Highland White Terrier,,
Dog,Chance,Chance,Chance,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Cat,Mir Hector,Mir,Mir,,,,,,,,11.5,,Domestic Shorthair,Domestic Shorthair,,
Cat,Clover,Clo,Clo,,,,,,,,3,,,,,
Cat,Lacerta Grace,Laci,Laci,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Mcgregor,Gregs,Gregs,,,,,,,,11,,Scottish Terrier,Scottish Terrier,,
Cat,Mosephus,Mo,Mo,,,,,,,,4,,,,,
Dog,Maggie,Mags; Maggals,Mags,Maggals,,,,,,,6,,Corgi,Corgi,,
Dog,Boo Radley Beauregard,Boo,Boo,,,,,,,,5,,Hound,Hound,,
Cat,Pictor James,Pictor,Pictor,,,,,,,,8,,Siamese,Siamese,,
Cat,Yellowie,Old Man,Old Man,,,,,,,,19,,,,,
Cat,Sylvio,Syl,Syl,,,,,,,,14,,,,,
Dog,Jean Louise,Scout,Scout,,,,,,,,2.5,,Golden Retriever,Golden Retriever,,
Cat,Cooper Kent Degroat,Cooper; Tooper,Cooper,Tooper,,,,,,,1,,Tuxedo Coloration,Tuxedo Coloration,,
Dog,Java Joe,Joe,Joe,,,,,,,,0.134615385,,Corgi,Corgi,,
Dog,Heidi Hoho,Heidi,Heidi,,,,,,,,7,,Rescue,,,
Dog,Finlay Heisenberg,Finn,Finn,,,,,,,,8,,Shetland Sheepdog,Shetland Sheepdog,,
Cat,Porkchop,Porkie,Porkie,,,,,,,,4,,Unknown,Unknown,,
Dog,Nala Belle,Nala,Nala,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Cat,Lila,Lielee,Lielee,,,,,,,,10,,Domestic Longhair,Domestic Longhair,,
Dog,Matelin Paco Junior,Mate,Mate,,,,,,,,9,,Australian Shepherd,Australian Shepherd,,
Cat,Applesauce,Apple,Apple,,,,,,,,2,,Unknown,Unknown,,
Dog,Eddie,Eddie,Eddie,,,,,,,,8,,Chihuahua,Chihuahua,,
Dog,Sir Thompson Squigglebutt,Tommy,Tommy,,,,,,,,7,,Chihuahua,Chihuahua,,
Dog,Miss Kasey Bubbles,Kasey,Kasey,,,,,,,,8,,English Setter,English Setter,,
Dog,Angel,Angel,Angel,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Loosie,Goose,Goose,,,,,,,,15,,Whippet,Whippet,,
Bird,Ruby,Ruby,Ruby,,,,,,,,2,,Parakeet,Parakeet,,
Dog,Sophie,Sophie,Sophie,,,,,,,,14,,Whippet,Whippet,,
Lizard,Robert,Robbie,Robbie,,,,,,,,1,,Leopard Gecko,Leopard Gecko,,
Dog,Douglas,Douglas,Douglas,,,,,,,,10,,Basset Hound,Basset Hound,,
Dog,Zoi,Z,Z,,,,,,,,1,,English Setter,English Setter,,
Cat,Menke,Menke,Menke,,,,,,,,4,,Manx,Manx,,
Dog,Jasper,Jasper,Jasper,,,,,,,,14,,Whippet,Whippet,,
Dog,Rupert,Roo,Roo,,,,,,,,3,,Basset Hound,Basset Hound,,
Dog,Spencer,Spence,Spence,,,,,,,,10,,Pointer,Pointer,,
Dog,Sir Clyde Bootsie Sideeye,Clyde,Clyde,,,,,,,,11,,Chihuahua,Chihuahua,,
Dog,Daisy Mae,Daisy,Daisy,,,,,,,,7,,Golden Doodle,Golden Doodle,,
Dog,Teddy Bear,Teddy,Teddy,,,,,,,,11,,Chow Chow/ Australian Shepherd,Chow Chow,Australian Shepherd,
Dog,Edward Gene,Eddy,Eddy,,,,,,,,15,,Golden Retriever,Golden Retriever,,
Dog,Peaches Monroe,Peaches,Peaches,,,,,,,,4,,Jack Russell Terrier,Jack Russell Terrier,,
Dog,Sir Nicholas,Nick,Nick,,,,,,,,9,,Corgi/ Jack Russell Terrier,Corgi,Jack Russell Terrier,
Dog,Eowyn,Eo,Eo,,,,,,,,13,,Shih Tzu,Shih Tzu,,
Dog,Jayden,Denden,Denden,,,,,,,,8,,Shih Tzu,Shih Tzu,,
Dog,Joey,Jo,Jo,,,,,,,,1,,Golden Retriever,Golden Retriever,,
Dog,Walker Texas Ranger,Wally,Wally,,,,,,,,1,,Labrador Retriever,Labrador Retriever,,
Dog,Mike Mussina,Moose,Moose,,,,,,,,1,,Labrador Retriever,Labrador Retriever,,
Cat,Azuca,Zucchini,Zucchini,,,,,,,,8,,,,,
Cat,Lady Bluebelle,Bluebelle,Bluebelle,,,,,,,,16,,Domestic Mediumhair,Domestic Mediumhair,,
Dog,Demon Deacon,Deke,Deke,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Dog,Benny The Tiny Von Hudehoff,Benny,Benny,,,,,,,,5,,Yorkshire Terrier,Yorkshire Terrier,,
Dog,Jacky,Jack,Jack,,,,,,,,3,,Golden Retriever,Golden Retriever,,
Dog,Gigi,Gigi,Gigi,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Dog,Liontamer’s Nelson M Mandela,Nelson,Nelson,,,,,,,,2,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Dog,Toby,Toby,Toby,,,,,,,,12,,Golden Retriever,Golden Retriever,,
Dog,Sugar,Sugar,Sugar,,,,,,,,13,,Mixed,Mixed,,
Cat,Rey,Rey,Rey,,,,,,,,2,,,,,
Dog,Mackley,Mackey,Mackey,,,,,,,,4,,American Bulldog,American Bulldog,,
Cat,Gordon Banarnar,Gordon,Gordon,,,,,,,,6,,Tabby Coloration,Tabby Coloration,,
Dog,Sugar,Sugar,Sugar,,,,,,,,5,,Golden Retriever,Golden Retriever,,
Dog,Minnie,Minnie,Minnie,,,,,,,,10,,Miniature Pinscher,Miniature Pinscher,,
Dog,Meeko Letang,Bubby,Bubby,,,,,,,,3,,Rough Collie,Rough Collie,,
Cat,"Mephistopheles, Der Leibhaftige Teufel, Lord Of The Underworld, Bringer Of Darkness",Felix,Felix,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Oddjob,Jobby,Jobby,,,,,,,,11,,Puggle,Puggle,,
Cat,River,River,River,,,,,,,,8,,Tabby Coloration,Tabby Coloration,,
Dog,Charleston Wesley,Charlie,Charlie,,,,,,,,1,,Golden Doodle,Golden Doodle,,
Dog,Shelby,Shelb,Shelb,,,,,,,,0.25,,Mixed,Mixed,,
Dog,Barracuda,Cuda,Cuda,,,,,,,,0.25,,German Shepherd,German Shepherd,,
Hamster,Lilapution Marie,Lilla,Lilla,,,,,,,,0,,,,,
Dog,Daisy,Daisy,Daisy,,,,,,,,5,,Labrador Retriever,Labrador Retriever,,
Dog,Moose Van Haus Huenink,Moose,Moose,,,,,,,,3,,Rottweiler,Rottweiler,,
Dog,Princess Bella Marie,Bella,Bella,,,,,,,,11,,Miniature Dachshund/ Beagle,Miniature Dachshund,Beagle,
Hamster,Turtle Dove,Turtle,Turtle,,,,,,,,0,,Syrian,Syrian,,
Dog,Geno Stoneycreek Pugh,Beans,Beans,,,,,,,,2,,Rottweiler,Rottweiler,,
Cat,Axel Daxel,Axel,Axel,,,,,,,,9,,Domestic Shorthair,Domestic Shorthair,,
Fish,Michael Lee,Michael,Michael,,,,,,,,0.916666667,,Betta,Betta,,
Cat,Babe Ruthy,Babe,Babe,,,,,,,,9,,Domestic Shorthair,Domestic Shorthair,,
Dog,Sadie Mae,Sadie,Sadie,,,,,,,,6,,German Shorthaired Pointer,German Shorthaired Pointer,,
Chinchilla,Stanley,Stan Bug,Stan Bug,,,,,,,,0,,,,,
Dog,Ruby Sue,Ruby,Ruby,,,,,,,,3,,Blue Tick Coonhound,Blue Tick Coonhound,,
Rabbit,Richard Fineman,Richie,Richie,,,,,,,,4,,,,,
Dog,Zoey,Zoey; Zozo,Zoey,Zozo,,,,,,,8,,Golden Retriever,Golden Retriever,,
